ID,Main,Location,Corporation,Salary,Href,Date
13,Montér/Servisný technik klimatizácií a tepelných čerpadiel,Bratislavský kraj,PROPLUSCO spol.s r.o., 1 700 EUR/mesiac,pracovna-ponuka/1332469/monter-servisny-technik-klimatizacii-a-tepelnych-cerpadiel,2023-04-06
14,Junior Programmer | Programátor Junior,Bratislava,"kiWision, s.r.o.", 1 800 EUR/mesiac,pracovna-ponuka/1333207/junior-programmer--programator-junior,2023-04-06
15,TEAMLEADER PRO POSÍLENÍ KOMPETENCE ELASTIC,Česká republika,NOTIX s.r.o., 40 000 CZK/mesiac,pracovna-ponuka/1332527/teamleader-pro-posileni-kompetence-elastic,2023-04-06
16,"Security application administrator with Cyberark - TPP, REMOTE (Ref. č.: 1-16-39788)",Prešov,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1118463/security-application-administrator-with-cyberark-tpp-remote-ref-c-1-16-39788-,2023-04-06
17,SAP ARCHITEKT (Ref. č.: 131-16-42100),Bratislava,Grafton Slovakia s.r.o., 2 300 EUR/mesiac,pracovna-ponuka/1332211/sap-architekt-ref-c-131-16-42100-,2023-04-06
18,SAP produktový inžinier (Ref. č.: 131-16-42099),Bratislava,Grafton Slovakia s.r.o., 1 350 EUR/mesiac,pracovna-ponuka/1332205/sap-produktovy-inzinier-ref-c-131-16-42099-,2023-04-06
19,Web Developer,Bratislava,"Zoznam, s.r.o.", 2 000 EUR/mesiac,pracovna-ponuka/98484/web-developer,2023-04-06
20,Test leader | výkonostné a záťažové testy (Ref. č.: 131-16-42109),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1332191/test-leader--vykonostne-a-zatazove-testy-ref-c-131-16-42109-,2023-04-06
21,Tester/vývojár výkonostných a záťažových testov (Ref. č.: 131-16-42103),"Slovenská republika, Bratislava",Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1332189/tester-vyvojar-vykonostnych-a-zatazovych-testov-ref-c-131-16-42103-,2023-04-06
22,Aplikačný administrátor/inžinier (Ref. č.: 1-16-41058),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1301177/aplikacny-administrator-inzinier-ref-c-1-16-41058-,2023-04-06
23,Java Programátor (Ref. č.: 1-16-40120),Košice,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1297241/java-programator-ref-c-1-16-40120-,2023-04-06
